rank,lemma,pos,count
720,actividad,NOUN,5
721,abierto,ADJ,5
722,marcado,ADJ,5
723,festividad,NOUN,5
724,actualidad,NOUN,5
725,sumar,VERB,5
726,finalizar,VERB,5
727,industrialización,NOUN,5
728,morir,VERB,5
729,fuerza,NOUN,5
730,julio,NOUN,5
731,reconocido,ADJ,5
732,suárez,PROPN,5
733,noviembre,NOUN,5
734,eta,PROPN,5
735,activo,ADJ,5
736,firmar,VERB,5
737,juegos,PROPN,5
738,olímpicos,PROPN,5
739,psoe,PROPN,5
740,desempleo,NOUN,5
741,xxi,NOUN,5
742,cantidad,NOUN,5
743,cerca,ADV,5
744,diez,NUM,5
745,popular,ADJ,5
746,calle,NOUN,5
747,rajoy,PROPN,5
748,reclamar,VERB,5
749,responsable,ADJ,5
750,general,PROPN,5
751,operación,NOUN,5
752,bandera,PROPN,5
753,individual,ADJ,5
754,ratificar,VERB,5
755,diputación,NOUN,5
756,entidad,NOUN,5
757,inferior,ADJ,5
758,estatuto,PROPN,5
759,buen,ADJ,5
760,continental,ADJ,5
761,parque,NOUN,5
762,requerido,ADJ,5
763,crecer,VERB,5
764,ine,PROPN,5
765,aproximadamente,ADV,5
766,poblado,ADJ,5
767,china,PROPN,5
768,situar él,VERB,5
769,aumento,NOUN,5
770,químico,ADJ,5
771,privado,ADJ,5
772,banco,PROPN,5
773,red,PROPN,5
774,instalado,ADJ,5
775,nuclear,ADJ,5
776,ancho,NOUN,5
777,operar,VERB,5
778,viajero,NOUN,5
779,realizado,ADJ,5
780,alquiler,NOUN,5
781,patrimonio,NOUN,5
782,escritor,NOUN,5
783,educación,NOUN,5
784,digital,ADJ,5
785,festivo,ADJ,5
786,tauromaquia,PROPN,5
787,lenguas,PROPN,5
788,cooficial,ADJ,5
789,deportivo,ADJ,5
790,organizado,ADJ,4
791,hallar,VERB,4
792,ceuta,PROPN,4
793,melilla,PROPN,4
794,posesión,NOUN,4
795,completar,VERB,4
796,medio,ADJ,4
797,metro,NOUN,4
798,estimar,VERB,4
799,terrestre,ADJ,4
800,andorra,PROPN,4
801,acervo,NOUN,4
802,proyección,NOUN,4
803,homo,PROPN,4
804,descubrimiento,NOUN,4
805,germánico,ADJ,4
806,algo,PRON,4
807,dinástica,PROPN,4
808,reconquista,PROPN,4
809,denominar,VERB,4
810,moderna,PROPN,4
811,sucesivo,ADJ,4
812,perder,VERB,4
813,golpe,NOUN,4
814,paso,NOUN,4
815,castillo,PROPN,4
816,denominación,NOUN,4
817,referir,VERB,4
818,moneda,NOUN,4
819,fenicio,ADJ,4
820,basado,ADJ,4
821,reina,NOUN,4
822,quien,PRON,4
823,razón,NOUN,4
824,godo,NOUN,4
825,alonso,PROPN,4
826,pp,PROPN,4
827,regional,ADJ,4
828,x,PROPN,4
829,depender,VERB,4
830,señor,NOUN,4
831,documento,NOUN,4
832,alta,PROPN,4
833,expedición,NOUN,4
834,reyes,PROPN,4
835,tratar,VERB,4
836,gentilicio,NOUN,4
837,caber,VERB,4
838,romance,NOUN,4
839,fenómeno,NOUN,4
840,medieval,ADJ,4
841,labor,NOUN,4
842,formación,NOUN,4
843,cantabria,PROPN,4
844,colonización,NOUN,4
845,i,PROPN,4
846,continuo,ADJ,4
847,colonia,NOUN,4
848,torno,NOUN,4
849,vi,PROPN,4
850,cartagena,PROPN,4
851,mil,NUM,4
852,derrota,NOUN,4
853,extremo,ADJ,4
854,cántabro,NOUN,4
855,imperial,ADJ,4
856,poeta,NOUN,4
857,dominar,VERB,4
858,media,PROPN,4
859,visigoda,NOUN,4
860,ninguno,PRON,4
861,inestabilidad,NOUN,4
862,común,ADJ,4
863,avance,NOUN,4
864,cordillera,NOUN,4
865,islam,NOUN,4
866,medio,PROPN,4
867,conservar,VERB,4
868,cruz,PROPN,4
869,episodio,NOUN,4
870,manifestar,VERB,4
871,recuperación,NOUN,4
872,fronterizo,ADJ,4
873,vínculo,NOUN,4
874,mucho,DET,4
875,partidario,NOUN,4
876,imponer,VERB,4
877,duero,PROPN,4
878,encabezado,ADJ,4
879,sí,INTJ,4
880,ciencia,NOUN,4
881,fijado,ADJ,4
882,garcía,PROPN,4
883,repartir,VERB,4
884,gonzález,PROPN,4
885,catalán,ADJ,4
886,oposición,NOUN,4
887,incorporar,VERB,4
888,tropa,NOUN,4
889,aumentar,VERB,4
890,notablemente,ADV,4
891,volver,VERB,4
892,adquirir,VERB,4
893,directo,ADJ,4
894,quedar,VERB,4
895,iv,PROPN,4
896,título,NOUN,4
897,universidad,NOUN,4
898,murcia,PROPN,4
899,mientras,SCONJ,4
900,abrir,VERB,4
901,concluir,VERB,4
902,tratado,NOUN,4
903,marítimo,ADJ,4
904,elegir,VERB,4
905,v,PROPN,4
906,oro,PROPN,4
907,valenciano,ADJ,4
908,salida,NOUN,4
909,relativo,ADJ,4
910,presente,ADJ,4
911,emperador,NOUN,4
912,enorme,ADJ,4
913,tradicionalmente,ADV,4
914,manifestación,NOUN,4
915,solución,NOUN,4
916,productivo,ADJ,4
917,superar,VERB,4
918,coyuntura,NOUN,4
919,libertad,NOUN,4
920,desembocar,VERB,4
921,empezar,VERB,4
